Sweep,SD,Value,PC
45,2,96.135,PC2
46,2,96.381,PC2
47,2,96.63,PC2
48,2,96.772,PC2
49,2,96.895,PC2
50,2,96.953,PC2
51,2,97.022,PC2
52,2,97.019,PC2
53,2,96.974,PC2
54,2,96.907,PC2
55,2,96.765,PC2
56,2,96.62,PC2
57,2,96.442,PC2
58,2,96.196,PC2
59,2,95.986,PC2
60,2,95.638,PC2
61,2,95.301,PC2
62,2,94.909,PC2
63,2,94.468,PC2
64,2,94.045,PC2
65,2,93.553,PC2
66,2,93.001,PC2
67,2,92.424,PC2
68,2,91.799,PC2
69,2,91.15,PC2
70,2,90.424,PC2
71,2,89.69,PC2
72,2,88.884,PC2
73,2,88.018,PC2
74,2,87.125,PC2
75,2,86.119,PC2
76,2,85.107,PC2
77,2,84.01,PC2
78,2,82.841,PC2
79,2,81.621,PC2
80,2,80.313,PC2
81,2,78.962,PC2
82,2,77.457,PC2
83,2,75.903,PC2
84,2,74.25,PC2
85,2,72.549,PC2
86,2,70.649,PC2
87,2,68.662,PC2
88,2,66.426,PC2
89,2,64.17,PC2
90,2,61.65,PC2
91,2,58.9,PC2
92,2,55.957,PC2
93,2,52.693,PC2
94,2,49.178,PC2
95,2,45.269,PC2
96,2,40.873,PC2
97,2,35.939,PC2
98,2,30.018,PC2
99,2,22.653,PC2
100,2,11.781,PC2
1,3,12.76,PC2
2,3,24.458,PC2
3,3,32.025,PC2
4,3,38.007,PC2
5,3,43,PC2
6,3,47.328,PC2
7,3,51.007,PC2
8,3,54.375,PC2
9,3,57.406,PC2
10,3,60.186,PC2
11,3,62.749,PC2
12,3,65.056,PC2
13,3,67.22,PC2
14,3,69.3,PC2
15,3,71.208,PC2
16,3,72.983,PC2
17,3,74.69,PC2
18,3,76.249,PC2
19,3,77.747,PC2
20,3,79.154,PC2
21,3,80.49,PC2
22,3,81.731,PC2
23,3,82.896,PC2
24,3,84.036,PC2
25,3,85.051,PC2
26,3,86.05,PC2
27,3,86.97,PC2
28,3,87.844,PC2
29,3,88.636,PC2
30,3,89.386,PC2
31,3,90.141,PC2
32,3,90.795,PC2
33,3,91.454,PC2
34,3,92.07,PC2
35,3,92.633,PC2
36,3,93.141,PC2
37,3,93.619,PC2
38,3,94.058,PC2
39,3,94.458,PC2
40,3,94.841,PC2
41,3,95.201,PC2
42,3,95.537,PC2
43,3,95.827,PC2
44,3,96.087,PC2
45,3,96.312,PC2
46,3,96.511,PC2
47,3,96.709,PC2
48,3,96.82,PC2
49,3,96.935,PC2
50,3,96.982,PC2
51,3,97.042,PC2
52,3,97.023,PC2
53,3,96.987,PC2
54,3,96.941,PC2
55,3,96.822,PC2
56,3,96.693,PC2
57,3,96.554,PC2
58,3,96.357,PC2
59,3,96.179,PC2
60,3,95.89,PC2
61,3,95.608,PC2
62,3,95.272,PC2
63,3,94.903,PC2
64,3,94.543,PC2
65,3,94.132,PC2
66,3,93.647,PC2
67,3,93.155,PC2
68,3,92.589,PC2
69,3,92.021,PC2
70,3,91.387,PC2
71,3,90.728,PC2
72,3,90,PC2
73,3,89.225,PC2
74,3,88.402,PC2
75,3,87.473,PC2
76,3,86.547,PC2
77,3,85.522,PC2
78,3,84.436,PC2
79,3,83.286,PC2
80,3,82.047,PC2
81,3,80.742,PC2
82,3,79.312,PC2
83,3,77.83,PC2
84,3,76.227,PC2
85,3,74.592,PC2
86,3,72.739,PC2
87,3,70.809,PC2
88,3,68.618,PC2
89,3,66.387,PC2
90,3,63.913,PC2
91,3,61.214,PC2
92,3,58.278,PC2
93,3,55.043,PC2
